product,rate_mfn,rate_applied,tariff_lines,is_traded
"691010 - Ceramic sinks, wash basins, wash basin pedestals, baths, bidets, water closet pans, flushing cisterns, urinals and similar sanitary fixtures; of porcelain or china",25,25,1,Yes
"691090 - Ceramic sinks, wash basins, wash basin pedestals, baths, bidets, water closet pans, flushing cisterns, urinals and similar sanitary fixtures; of other than porcelain or china",25,25,1,No
"701911 - Chopped strands, of a length of not more than 50 mm",25,25,1,No
702000 - Glass; articles n.e.s. in chapter 70,25,25,6,Yes
"740811 - Copper; wire, of refined copper, of which the maximum cross-sectional dimension exceeds 6mm",25,25,3,Yes
"740819 - Copper; wire, of refined copper, of which the maximum cross-sectional dimension is 6mm or less",25,25,2,Yes
"741300 - Copper; stranded wire, cables, plaited bands and the like, not electrically insulated",25,25,4,Yes
"760410 - Aluminium; (not alloyed), bars, rods and profiles",25,25,2,Yes
"760421 - Aluminium; alloys, hollow profiles",25,25,3,Yes
"760429 - Aluminium; alloys, bars, rods and profiles, other than hollow",25,25,3,Yes
"760511 - Aluminium; (not alloyed), wire, maximum cross-sectional dimension exceeds 7mm",25,25,1,No
"760519 - Aluminium; (not alloyed), wire, maximum cross-sectional dimension is 7mm or less",25,25,2,Yes
"760521 - Aluminium; alloys, wire, maximum cross-sectional dimension exceeding 7mm",25,25,1,Yes
"760529 - Aluminium; alloys, wire, maximum cross-sectional dimension is 7mm or less",25,25,2,Yes
"760711 - Aluminium; foil, (not backed), rolled (but not further worked), of a thickness not exceeding 0.2mm",25,25,1,Yes
"760719 - Aluminium; foil, (not backed), of a thickness not exceeding 0.2mm, not rolled",25,25,1,Yes
"760810 - Aluminium; tubes and pipes, not alloyed",25,25,1,Yes
"760820 - Aluminium; tubes and pipes, alloys",25,25,1,Yes
"761010 - Aluminium; structures (excluding prefabricated buildings of heading no. 9406) and parts of structures, doors, windows and their frames and thresholds for doors",25,25,2,Yes
"761090 - Aluminium; structures (excluding prefabricated buildings of heading no. 9406) and parts of structures, n.e.s. in heading no. 7610, plates, rods, profiles, tubes and the like",25,25,3,Yes
"821110 - Knives; with cutting blades, serrated or not (including pruning knives), sets of assorted articles, excluding knives and blades of heading no. 8208",25,25,1,No
"821191 - Knives; table knives, having fixed cutting blades, serrated or not, excluding knives and blades of heading no. 8208",25,25,1,Yes
821195 - Handles of base metal,25,25,1,Yes
"821300 - Scissors; tailors' shears, similar shears and blades therefor",25,25,1,Yes
"821410 - Cutlery; paper knives, letter openers, erasing knives, pencil sharpeners and blades therefor",25,25,1,Yes
821420 - Manicure or pedicure sets and instruments; (including nail files),25,25,1,No
821490 - Cutlery; hair clippers and mincing knives,25,25,1,Yes
"821510 - Cutlery; sets of assorted articles (eg spoons, forks, ladles, skimmers, cake-servers, fish-knives, butter-knives, sugar tongs and similar), with at least one article plated with precious metal",25,25,1,No
"821520 - Cutlery; sets of assorted articles (eg spoons, forks, ladles, skimmers, cake-servers, fish-knives, butter knives, sugar tongs and similar), not plated with precious metal",25,25,1,Yes
"821591 - Cutlery; (eg spoons, forks, ladles, skimmers, cake-servers, fish-knives, butter-knives, sugar tongs and similar), plated with precious metal, not in sets",25,25,1,No
821599 - Cutlery; other than plated with precious metal,25,25,1,Yes
"830110 - Padlocks; (key, combination or electrically operated), of base metal",25,25,1,Yes
"830120 - Locks; of a kind used for motor vehicles (key, combination or electrically operated), of base metal",25,25,1,Yes
"830140 - Locks; (other than those for motor vehicles or furniture), (key, combination or electrically operated), of base metal",25,25,3,Yes
"830150 - Clasps and frames with clasps; incorporating locks, of base metal",25,25,1,Yes
"830160 - Locks; parts of padlocks, locks, clasps and frames with clasps incorporating locks, of base metal",25,25,1,Yes
"830170 - Keys; presented separately, of base metal",25,25,1,Yes
"830400 - Office equipment; filing cabinets, card-index cabinets, paper trays, paper rests, pen trays, office-stamp stands and similar office or desk equipment, of base metal, other than office furniture of heading no. 9403",25,25,4,Yes
"830910 - Stoppers; corks, of base metal",25,25,1,No
"840731 - Engines; reciprocating piston engines, of a kind used for the propulsion of vehicles of chapter 87, of a cylinder capacity not exceeding 50cc",25,25,1,No
842131 - Machinery; intake air filters for internal combustion engines,25,25,3,Yes
842410 - Fire extinguishers; whether or not charged,25,25,2,Yes
"845011 - Washing machines; household or laundry-type, fully-automatic, (of a dry linen capacity not exceeding 10kg)",25,25,2,No
"845012 - Washing machines; household or laundry-type, with built-in centrifugal drier, (not fully-automatic), of a dry linen capacity not exceeding 10kg",25,25,2,Yes
852859 - Other,25,25,2,Yes
"870490 - Vehicles; for transport of goods, n.e.s. in heading no. 8704",25,25,6,No
870830 - Brakes and servo-brakes; parts thereof,25,25,5,Yes
"871610 - Trailers and semi-trailers; of the caravan type, for housing or camping",25,25,1,Yes
"871620 - Trailers and semi-trailers; self-loading or self-unloading, for agricultural purposes",25,25,1,No
871631 - Tanker trailers and tanker semi-trailers,25,25,1,Yes
871639 - Trailers and semi-trailers; (other than tanker type),25,25,3,Yes
950420 - Billiard articles and accessories,25,25,3,Yes
960400 - Hand sieves and hand riddles,25,25,2,Yes
"960621 - Buttons; of plastics, not covered with textile material",25,25,1,No
"960622 - Buttons; of base metal, not covered with textile material",25,25,1,Yes
960820 - Pens; felt tipped and other porous-tipped pens and markers,25,25,1,Yes
"961310 - Lighters; pocket, cigarette, gas fuelled, non-refillable",25,25,2,Yes
"961320 - Lighters; pocket, cigarette, gas fuelled, refillable",25,25,2,Yes
"870350 - Other vehicles, with both compression-ignition internal combustion piston engine (diesel or semi-diesel) and electric motor as motors for propulsion, other than those capable of being charged by plugging to external source of electric power",25,25,66,No
"870370 - Other vehicles, with both compression-ignition internal combustion piston engine (diesel or semi-diesel) and electric motor as motors for propulsion, capable of being charged by plugging to external source of electric power",25,25,66,No
"870340 - Other vehicles, with both spark-ignition internal combustion reciprocating piston engine and electric motor as motors for propulsion, other than those capable of being charged by plugging to external source of electric power",24,24,68,No
"870360 - Other vehicles, with both spark-ignition internal combustion reciprocating piston engine and electric motor as motors for propulsion, capable of being charged by plugging to external source of electric power",24,24,68,No
401220 - Rubber; used pneumatic tyres,24,24,12,Yes
"841451 - Fans; table, floor, wall, window, ceiling or roof fans, with a self-contained electric motor of an output not exceeding 125W",23,23,3,Yes
"870422 - Vehicles; compression-ignition internal combustion piston engine (diesel or semi-diesel), for transport of goods, (of a g.v.w. exceeding 5 tonnes but not exceeding 20 tonnes), nes in item no 8704.1",23,23,18,No
"870600 - Chassis; fitted with engines, for the motor vehicles of heading no. 8701 to 8705",23,23,13,No
"870432 - Vehicles; spark-ignition internal combustion piston engine, for transport of goods, (of a g.v.w. exceeding 5 tonnes), nes in item no 8704.1",23,23,43,No
"870880 - Vehicles; parts, suspension shock-absorbers",23,23,7,Yes
"870423 - Vehicles; compression-ignition internal combustion piston engine (diesel or semi-diesel), for transport of goods, (of a g.v.w. exceeding 20 tonnes), nes in item no 8704.1",23,23,25,No
"070490 - Vegetables, brassica; edible, n.e.s. in heading no. 0704, fresh or chilled",23,23,4,Yes
"392061 - Plastics; plates, sheets, film, foil and strip, of polycarbonates, non-cellular and not reinforced, laminated, supported or similarly combined with other materials",23,23,2,Yes
"481830 - Paper articles; tablecloths and serviettes, of paper, cellulose wadding or fibres",23,23,2,Yes
"691310 - Ceramic statuettes and other ornamental ceramic articles, of porcelain or china",23,23,2,Yes
691390 - Ceramic statuettes and other ornamental ceramic articles; other than of porcelain or china,23,23,2,Yes
"852872 - Other, colour",23,23,4,Yes
